Latitude	Longitude
42.69520	-114.85320
42.69670	-114.85370
42.69780	-114.85600
42.69901	-114.85840
42.70040	-114.85880
42.70210	-114.85730
42.70370	-114.85770
42.70511	-114.85810
42.70540	-114.85610
42.70710	-114.85460
42.70890	-114.85300
42.70920	-114.85110
42.70950	-114.84910
42.70980	-114.84710
42.71160	-114.84560
42.71331	-114.84400
42.71480	-114.84440
42.71620	-114.84480
42.71800	-114.84330
42.71951	-114.84370
42.72120	-114.84210
42.72300	-114.84060
42.72470	-114.83900
42.72621	-114.83940
42.72801	-114.83790
42.72940	-114.83830
42.73111	-114.83670
42.73260	-114.83720
42.73401	-114.83760
42.73550	-114.83800
42.73700	-114.83840
42.73841	-114.83880
42.73990	-114.83920
42.74130	-114.83960
42.74281	-114.84010
42.74420	-114.84050
42.74570	-114.84090
42.74680	-114.84330
42.74801	-114.84560
42.74911	-114.84800
42.75020	-114.85040
42.75140	-114.85280
42.75250	-114.85520
42.75230	-114.85720
42.75201	-114.85910
42.75160	-114.86110
42.75141	-114.86310
42.75100	-114.86510
42.75070	-114.86700
42.75180	-114.86940
42.75300	-114.87180
42.75270	-114.87380
42.75241	-114.87570
42.75350	-114.87810
42.75470	-114.88050
42.75650	-114.87900
42.75761	-114.88130
42.75870	-114.88370
42.75990	-114.88610
42.75960	-114.88810
42.76070	-114.89040
42.76040	-114.89240
42.76160	-114.89480
42.76130	-114.89680
42.76100	-114.89880
42.76210	-114.90110
42.76330	-114.90350
42.76441	-114.90590
42.76410	-114.90790
42.76381	-114.90990
42.76351	-114.91180
42.76310	-114.91380
42.76290	-114.91580
42.76251	-114.91770
42.76370	-114.92010
42.76480	-114.92250
42.76601	-114.92490
42.76710	-114.92730
42.76820	-114.92970
42.76970	-114.93010
42.77091	-114.93250
42.77230	-114.93290
42.77351	-114.93530
42.77530	-114.93370
42.77670	-114.93420
42.77810	-114.93460
42.77961	-114.93500
42.78111	-114.93540
42.78250	-114.93580
42.78390	-114.93620
42.78541	-114.93660
42.78690	-114.93710
42.78830	-114.93750
42.78981	-114.93790
42.79120	-114.93830
42.79261	-114.93880
42.79440	-114.93720
42.79620	-114.93560
42.79650	-114.93370
42.79680	-114.93170
42.79850	-114.93010
42.80000	-114.93060
42.80141	-114.93100
42.80260	-114.93330
42.80410	-114.93380
42.80551	-114.93420
42.80690	-114.93460
42.80840	-114.93500
42.80991	-114.93540
42.81161	-114.93390
42.81300	-114.93430
42.81341	-114.93230
42.81510	-114.93080
42.81690	-114.92920
42.81860	-114.92770
42.81901	-114.92570
42.81930	-114.92370
42.82100	-114.92220
42.81991	-114.91980
42.82161	-114.91820
42.82341	-114.91670
42.82370	-114.91470
42.82540	-114.91310
42.82580	-114.91120
42.82750	-114.90960
42.82900	-114.91000
42.83070	-114.90850
42.83221	-114.90890
42.83401	-114.90730
42.83571	-114.90580
42.83720	-114.90620
42.83890	-114.90460
42.84070	-114.90310
42.84210	-114.90350
42.84390	-114.90190
42.84560	-114.90040
42.84740	-114.89880
42.84890	-114.89920
42.85030	-114.89970
42.85180	-114.90010
42.85290	-114.90250
42.85430	-114.90290
42.85610	-114.90130
42.85760	-114.90170
42.85900	-114.90210
42.86011	-114.90460
42.86130	-114.90690
42.86280	-114.90730
42.86430	-114.90780
42.86530	-114.91010
42.86650	-114.91260
42.86620	-114.91450
42.86771	-114.91490
42.86880	-114.91730
42.86990	-114.91970
42.86960	-114.92170
42.87080	-114.92410
42.87220	-114.92450
42.87340	-114.92690
42.87480	-114.92730
42.87601	-114.92970
42.87710	-114.93210
42.87861	-114.93250
42.88000	-114.93290
42.88150	-114.93330
42.88260	-114.93570
42.88380	-114.93810
42.88521	-114.93850
42.88670	-114.93900
42.88781	-114.94130
42.88900	-114.94380
42.89011	-114.94610
42.89130	-114.94850
42.89271	-114.94890
42.89420	-114.94940
42.89531	-114.95180
42.89640	-114.95420
42.89790	-114.95460
42.89900	-114.95700
42.90050	-114.95740
42.90160	-114.95980
42.90310	-114.96020
42.90460	-114.96060
42.90601	-114.96100
42.90710	-114.96340
42.90681	-114.96540
42.90650	-114.96740
42.90620	-114.96940
42.90590	-114.97130
42.90560	-114.97330
42.90531	-114.97530
42.90501	-114.97720
42.90470	-114.97920
42.90440	-114.98120
42.90410	-114.98320
42.90380	-114.98510
42.90200	-114.98670
42.90161	-114.98870
42.90280	-114.99110
42.90250	-114.99300
42.90371	-114.99550
42.90480	-114.99780
42.90450	-114.99980
